0, 0, 5028, 1676, -1, -1, -1, -1
1, 0.020263, 729, 1454, -1, -1, -1, -1
2, 0.007612, 873, 4789, -1, -1, -1, -1
3, 0.132709, 1075, 5763, 106513, 1100.28, 0, -1
7, 0.055596, 867, 4752, 87310.1, 1178.4, -1, -1
6, 0.062843, 23911, 124841, 68557.1, 202.2, -1, -1
7, 0.488254, 7158, 36365, 40.1837, 4.54868, -1, -1
8, 0.176646, 7158, 35944, 32.3245, 4.28878, -1, -1
9, 0.029522, 7158, 35944, 29.1952, 3.96561, -1, -1
6, 0.019174, 10309, 51177, 29.1952, 4.09083, -1, -1
7, 0.17361, 7403, 37284, 29.1952, 3.94299, -1, -1
8, 0.139431, 7403, 37226, 29.1952, 3.90362, -1, -1
9, 0.028899, 7403, 37226, 25.043, 3.79859, -1, -1
6, 0.015345, 9070, 44902, 25.043, 3.89036, -1, -1
7, 0.118894, 7402, 37206, 23.6661, 3.80603, -1, -1
8, 0.110722, 7402, 37179, 14.4179, 3.79624, -1, -1
9, 0.027501, 7402, 37179, 14.4179, 3.74793, -1, -1
6, 0.014101, 8652, 42819, 14.4179, 3.82375, -1, -1
7, 0.102862, 7359, 36986, 14.4179, 3.75573, -1, -1
8, 0.101137, 7359, 36980, 14.4179, 3.75079, -1, -1
9, 0.026017, 7359, 36980, 14.4179, 3.72299, -1, -1
6, 0.016019, 9403, 46861, 15.8106, 3.88407, -1, -1
7, 0.123493, 7667, 38684, 8.81928, 3.73244, -1, -1
8, 0.117395, 7667, 38663, 8.81928, 3.7244, -1, -1
9, 0.027065, 7667, 38663, 8.92562, 3.68984, -1, -1
7, 0.069571, 7551, 38047, 8.92562, 3.69257, -1, -1
4, 2.06668, 7551, 38047, 8.92562, 3.69257, -1, -1
5, 0.075422, 2697, 10164, 8.73977, 3.88644, -1, -1
-1, 2.30269, 2697, 10164, 8.73977, 3.88644, 0, 54
